kabupaten,forecast_week,predicted_cases
HuluSungaiTengah,2024-01-16,0
HuluSungaiTengah,2024-01-23,0
HuluSungaiUtara,2024-01-02,9
HuluSungaiUtara,2024-01-09,3
HuluSungaiUtara,2024-01-16,2
HuluSungaiUtara,2024-01-23,1
HumbangHasundutan,2024-01-02,0
HumbangHasundutan,2024-01-09,0
HumbangHasundutan,2024-01-16,0
HumbangHasundutan,2024-01-23,0
IndragiriHilir,2024-01-02,0
IndragiriHilir,2024-01-09,0
IndragiriHilir,2024-01-16,0
IndragiriHilir,2024-01-23,0
IndragiriHulu,2024-01-02,0
IndragiriHulu,2024-01-09,0
IndragiriHulu,2024-01-16,0
IndragiriHulu,2024-01-23,3
Indramayu,2024-01-02,0
Indramayu,2024-01-09,2
Indramayu,2024-01-16,1
Indramayu,2024-01-23,1
IntanJaya,2024-01-02,0
IntanJaya,2024-01-09,0
IntanJaya,2024-01-16,0
IntanJaya,2024-01-23,0
JakartaBarat,2024-01-02,0
JakartaBarat,2024-01-09,0
JakartaBarat,2024-01-16,0
JakartaBarat,2024-01-23,0
JakartaPusat,2024-01-02,0
JakartaPusat,2024-01-09,0
JakartaPusat,2024-01-16,0
JakartaPusat,2024-01-23,0
JakartaSelatan,2024-01-02,0
JakartaSelatan,2024-01-09,0
JakartaSelatan,2024-01-16,0
JakartaSelatan,2024-01-23,0
JakartaTimur,2024-01-02,0
JakartaTimur,2024-01-09,0
JakartaTimur,2024-01-16,0
JakartaTimur,2024-01-23,0
JakartaUtara,2024-01-02,0
JakartaUtara,2024-01-09,0
JakartaUtara,2024-01-16,0
JakartaUtara,2024-01-23,0
Jambi,2024-01-02,0
Jambi,2024-01-09,0
Jambi,2024-01-16,0
Jambi,2024-01-23,0
Jayapura,2024-01-02,0
Jayapura,2024-01-09,0
Jayapura,2024-01-16,0
Jayapura,2024-01-23,0
Jayawijaya,2024-01-02,0
Jayawijaya,2024-01-09,0
Jayawijaya,2024-01-16,0
Jayawijaya,2024-01-23,0
Jember,2024-01-02,10
Jember,2024-01-09,1
Jember,2024-01-16,2
Jember,2024-01-23,1
Jembrana,2024-01-02,0
Jembrana,2024-01-09,0
Jembrana,2024-01-16,0
Jembrana,2024-01-23,0
Jeneponto,2024-01-02,0
Jeneponto,2024-01-09,0
Jeneponto,2024-01-16,0
Jeneponto,2024-01-23,0
Jepara,2024-01-02,0
Jepara,2024-01-09,0
Jepara,2024-01-16,0
Jepara,2024-01-23,0
Kaimana,2024-01-02,0
Kaimana,2024-01-09,0
Kaimana,2024-01-16,0
Kaimana,2024-01-23,0
Kampar,2024-01-02,0
Kampar,2024-01-09,1
Kampar,2024-01-16,0
Kampar,2024-01-23,0
Kapuas,2024-01-02,9
Kapuas,2024-01-09,0
Kapuas,2024-01-16,0
Kapuas,2024-01-23,1
KapuasHulu,2024-01-02,0
KapuasHulu,2024-01-09,0
KapuasHulu,2024-01-16,0
KapuasHulu,2024-01-23,0
Karanganyar,2024-01-02,0
Karanganyar,2024-01-09,1
Karanganyar,2024-01-16,1
Karanganyar,2024-01-23,1
Karangasem,2024-01-02,0
Karangasem,2024-01-09,1
Karangasem,2024-01-16,1
Karangasem,2024-01-23,2
Karawang,2024-01-02,0
Karawang,2024-01-09,0
Karawang,2024-01-16,0
Karawang,2024-01-23,0
Karimun,2024-01-02,0
Karimun,2024-01-09,0
Karimun,2024-01-16,0
Karimun,2024-01-23,0
Karo,2024-01-02,19
Karo,2024-01-09,0
Karo,2024-01-16,0
Karo,2024-01-23,1
Katingan,2024-01-02,0
Katingan,2024-01-09,0
Katingan,2024-01-16,0
Katingan,2024-01-23,0
Kaur,2024-01-02,0
Kaur,2024-01-09,0
Kaur,2024-01-16,0
Kaur,2024-01-23,0
